3.46E+01,7.80E+01
3.03E+01,4.39E+01
3.58E+01,7.29E+01
6.02E+01,8.63E+01
7.90E+01,7.53E+01
4.51E+01,5.63E+01
6.11E+01,9.65E+01
7.50E+01,4.66E+01
7.61E+01,8.74E+01
8.44E+01,4.35E+01
9.59E+01,3.82E+01
7.50E+01,3.06E+01
8.23E+01,7.65E+01
6.94E+01,9.77E+01
3.95E+01,7.60E+01
5.40E+01,8.92E+01
6.91E+01,5.27E+01
6.79E+01,4.67E+01
7.07E+01,9.29E+01
7.70E+01,4.76E+01
6.74E+01,4.28E+01
8.97E+01,6.58E+01
5.05E+01,4.89E+01
3.42E+01,4.42E+01
7.79E+01,6.90E+01
6.23E+01,7.00E+01
8.02E+01,4.48E+01
9.31E+01,3.88E+01
6.18E+01,5.03E+01
3.88E+01,6.50E+01
6.14E+01,7.28E+01
8.54E+01,5.71E+01
5.21E+01,6.31E+01
5.20E+01,6.94E+01
4.02E+01,7.12E+01
5.46E+01,5.22E+01
3.39E+01,9.89E+01
6.42E+01,8.09E+01
7.48E+01,4.16E+01
3.42E+01,7.52E+01
8.39E+01,5.63E+01
5.15E+01,4.69E+01
9.44E+01,6.56E+01
8.24E+01,4.06E+01
5.10E+01,4.58E+01
6.22E+01,5.21E+01
7.72E+01,7.05E+01
9.78E+01,8.67E+01
6.21E+01,9.68E+01
9.16E+01,8.87E+01
7.99E+01,7.42E+01
9.93E+01,6.10E+01
9.05E+01,4.34E+01
3.45E+01,6.04E+01
5.03E+01,4.98E+01
4.96E+01,5.98E+01
9.76E+01,6.89E+01
3.26E+01,9.56E+01
7.42E+01,6.98E+01
7.18E+01,7.85E+01
7.54E+01,8.58E+01
3.53E+01,4.70E+01
5.63E+01,3.93E+01
3.01E+01,4.96E+01
4.47E+01,6.65E+01
6.66E+01,4.11E+01
4.05E+01,9.75E+01
4.91E+01,5.19E+01
8.03E+01,9.21E+01
6.67E+01,6.10E+01
3.27E+01,4.33E+01
6.40E+01,7.80E+01
7.23E+01,9.62E+01
6.05E+01,7.31E+01
5.88E+01,7.59E+01
9.98E+01,7.24E+01
4.73E+01,8.85E+01
5.05E+01,7.58E+01
6.05E+01,4.25E+01
8.22E+01,4.27E+01
8.89E+01,6.98E+01
9.48E+01,4.57E+01
6.73E+01,6.66E+01
5.72E+01,5.95E+01
8.04E+01,9.10E+01
6.85E+01,8.56E+01
4.21E+01,7.88E+01
7.55E+01,9.04E+01
7.86E+01,9.66E+01
5.23E+01,6.08E+01
9.41E+01,7.72E+01
9.04E+01,8.75E+01
5.55E+01,3.56E+01
7.45E+01,8.48E+01
8.98E+01,4.54E+01
8.35E+01,4.84E+01
4.23E+01,8.71E+01
9.93E+01,6.88E+01
5.53E+01,6.49E+01
7.48E+01,8.95E+01
